Number,Age,Gender,BirthPlace,Education," «Маш, а Вы не могли бы подойти, пожалуйста?»","«Даш, Вы тоже решили пораньше прийти?»","«Саш, Вы не могли бы закрыть окно, пожалуйста?»"
338,57,Женский,Москва,высшее,фамильярно,нормально,фамильярно
339,18,Женский,Пинск ,неоконченное высшее,фамильярно,нормально,нормально
340,21,Женский,Рязань ,неоконченное высшее,нормально,нормально,нормально
341,70,Мужской,Владивосток,высшее,грубо,грубо,грубо
342,32,Мужской,Москва,высшее,нормально,нормально,нормально
343,14,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
344,19,Женский,Москва,неоконченное высшее,грубо,грубо,грубо
345,17,Женский,Москва,неоконченное высшее,фамильярно,грубо,нормально
346,25,Мужской,Москва,высшее,нормально,нормально,нормально
347,25,Женский,Москва,среднее,нормально,нормально,нормально
348,37,Женский,СПб,высшее,грубо,фамильярно,грубо
349,30,Женский,москва,высшее,нормально,нормально,нормально
350,18,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
351,18,Женский,рига,среднее,фамильярно,нормально,нормально
352,26,Женский,Московская область,высшее,нормально,нормально,нормально
353,17,Женский,Екатеринбург,незаконченное среднее (=школьник),нормально,фамильярно,нормально
354,22,Женский,Ивантеевка,высшее,нормально,нормально,нормально
355,48,Женский,Таганрог,высшее,грубо,нормально,фамильярно
356,18,Женский,Москва,неоконченное высшее,нормально,фамильярно,нормально
357,21,Мужской,За МКАДом,неоконченное высшее,фамильярно,нормально,нормально
358,77,Мужской,г. Улан-Удэ,высшее,фамильярно,нормально,нормально
359,46,Мужской,Москва,высшее,фамильярно,нормально,нормально
360,21,Женский,"Санкт-Петербург, Россия",высшее,грубо,фамильярно,фамильярно
361,16,Мужской,Сан-Франциско,незаконченное среднее (=школьник),нормально,нормально,нормально
362,21,Женский,Узбекистан ,неоконченное высшее,фамильярно,нормально,нормально
363,18,Женский,Новочеркасск,неоконченное высшее,нормально,фамильярно,нормально
364,20,Мужской,волгоград,неоконченное высшее,нормально,нормально,нормально
365,17,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
366,49,Женский,Брянск,высшее,фамильярно,нормально,нормально
367,26,Женский,Санкт-Петербург,высшее,фамильярно,нормально,фамильярно
368,48,Мужской,Москва,высшее,фамильярно,фамильярно,фамильярно
369,19,Мужской,Санкт Петербург,неоконченное высшее,грубо,фамильярно,фамильярно
370,22,Женский,Москва,высшее,фамильярно,нормально,фамильярно
371,18,Мужской,Москва,среднее,фамильярно,нормально,нормально
372,47,Мужской,Конотоп,высшее,фамильярно,нормально,нормально
373,51,Женский,Москва,высшее,фамильярно,нормально,нормально
374,15,Женский,Санкт-Петербург,незаконченное среднее (=школьник),грубо,фамильярно,фамильярно
375,60,Женский,Москва,высшее,фамильярно,фамильярно,фамильярно
